,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,is_match,ActualPolicyVehicle,ActualPolicyCoverage,PolicyMismatchFlag
28,Honda,1,Tuesday,Sep,0.75,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
52,Honda,0,Wednesday,Jan,0.75,1,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,1.0,more than 30,more than 30,none,4 years,26 to 30,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sport,Collision,0
53,Honda,1,Wednesday,Aug,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
94,Honda,1,Friday,Jan,0.5,1,Single,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sport,Collision,0
96,Toyota,1,Tuesday,Jan,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
100,Chevrolet,1,Wednesday,Jan,0.25,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.0,more than 30,more than 30,more than 4,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Utility,All Perils,0
113,Accura,0,Tuesday,Jan,0.25,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,more than 7,51 to 65,0,0,0,none,no change,1 vehicle,All Perils,True,Utility,All Perils,0
118,Mazda,1,Wednesday,Dec,0.0,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,5 years,over 65,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
119,Honda,0,Friday,Dec,0.5,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
147,Toyota,0,Tuesday,May,0.5,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,36 to 40,0,0,0,more than 5,under 6 months,2 vehicles,All Perils,True,Sedan,All Perils,0
160,Chevrolet,1,Friday,Jan,0.25,1,Married,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
189,Mazda,1,Monday,Jan,0.0,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,more than 7,36 to 40,0,0,0,none,4 to 8 years,2 vehicles,All Perils,True,Sedan,All Perils,0
192,Chevrolet,1,Monday,Jan,0.25,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Utility,All Perils,0
194,Honda,1,Monday,Jan,0.0,1,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
204,Pontiac,1,Tuesday,Jan,0.5,1,Married,1,Sedan - All Perils,Sedan,less than 20000,1.0,0.5,0.6666666666666667,none,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,2 to 3 years,1 vehicle,All Perils,True,Sedan,All Perils,0
206,Pontiac,1,Monday,Jan,0.25,1,Married,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,4 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
228,Pontiac,0,Wednesday,Jan,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,36 to 40,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
232,Chevrolet,1,Monday,Jan,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
235,Chevrolet,1,Tuesday,Jan,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
297,Pontiac,1,Wednesday,Jan,0.0,1,Single,0,Sedan - Collision,Sedan,40000 to 59000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
308,Pontiac,0,Tuesday,Jan,0.25,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.0,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,none,under 6 months,1 vehicle,All Perils,True,Sedan,All Perils,0
309,Honda,1,Tuesday,Jan,0.0,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
315,Honda,1,Monday,Jan,0.25,1,Single,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.0,more than 30,more than 30,1,new,16 to 17,0,0,0,none,4 to 8 years,2 vehicles,All Perils,True,Utility,All Perils,0
317,Honda,1,Wednesday,Jan,0.0,1,Single,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,1,new,16 to 17,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
366,Pontiac,1,Wednesday,Jan,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,7 years,41 to 50,0,0,0,none,under 6 months,1 vehicle,All Perils,True,Sedan,All Perils,0
380,Ford,1,Monday,Jan,0.25,1,Married,0,Sedan - Collision,Sedan,40000 to 59000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,more than 7,51 to 65,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
385,Honda,1,Wednesday,Jan,0.75,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,new,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
405,Accura,1,Monday,Jan,0.5,1,Married,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,more than 4,more than 7,41 to 50,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
408,Pontiac,1,Tuesday,Nov,0.5,0,Married,1,Sedan - Collision,Sedan,30000 to 39000,1.0,0.5,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,2 to 3 years,1 vehicle,Collision,True,Sedan,Collision,0
449,Honda,0,Wednesday,Jan,0.25,0,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.0,more than 30,more than 30,1,5 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
503,Pontiac,0,Thursday,Jan,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,more than 7,over 65,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
508,Toyota,0,Thursday,Jan,0.5,1,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,none,6 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
522,Chevrolet,1,Tuesday,Jan,0.75,1,Married,0,Sedan - Liability,Sport,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,more than 7,36 to 40,0,0,0,1 to 2,no change,1 vehicle,Liability,False,Sedan,Liability,1
528,Mazda,0,Tuesday,Jan,0.25,1,Married,0,Sedan - Collision,Sedan,40000 to 59000,1.0,0.25,1.0,more than 30,more than 30,1,7 years,36 to 40,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
533,Pontiac,1,Friday,Jan,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,5 years,31 to 35,0,0,0,1 to 2,no change,3 to 4,Collision,True,Sedan,Collision,0
536,Chevrolet,1,Wednesday,Jan,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
538,Honda,1,Wednesday,Jan,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
542,Honda,1,Friday,Jan,0.75,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,none,new,16 to 17,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
556,Pontiac,1,Monday,Jan,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
564,Toyota,1,Thursday,Jan,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
